Name,Address,Wards,Cuisine,Price,WebsiteUrl,Award,FacilitiesAndServices,Description,,,
Chukasoba KOTETSU,"2-39-13 Kitazawa, Setagaya-ku, Tokyo, 155-0031, Japan",Setagaya/Shinagawa,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","The name ‘Kotetsu’ was Tetsuya Oshima’s nickname as a child. He trained at a restaurant specialising in pork broth with soy sauce, but for his own place he chose Chinese noodles to appeal to a broader customer base. He uses three kinds of dried fish shavings to make the dashi and adds fish sauce made from squid to the kaeshi to give it more depth. The thin noodles have little water content and remain firm. Order the backfat topping if you enjoy the sweetness of pork fat.",,,
Chukasoba Nishino,"3-30-7 Hongo, Bunkyo-ku, Tokyo, 113-0033, Japan",Bunkyo/Sumida/Taito,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","‘Nishino’ is not the owner-chef’s name - uniquely, the place is named after a young female pop star with whom he is infatuated. The menu carries only two items, ramen and sansho (Japanese pepper) ramen. Seeking a flavour similar to udon dashi, he creates soup by mixing dried-sardine dashi with white soy-based sauce. His devotion shines in the Narutomaki fish cake, which forms a hiragana no (の). Listening to girl-band tunes while slurping noodles is this shop’s one-of-a-kind experience.",,,
Edosoba Hosokawa,"1-6-5 Kamezawa, Sumida-ku, Tokyo, 130-0014, Japan",Bunkyo/Sumida/Taito,Japanese,¥,https://www.edosoba-hosokawa.jp/,Bib Gourmand,"Air conditioning,Cash only","Chef Hosokawa tours producing regions in search of the highest-quality buckwheat. He kneads his soba noodles reverently and you can compare buckwheat from different regions, tasting the unique character the terroir impart to each. The spring ‘Wakatake’ with bamboo shoots and wakame is fragrant with the aroma of young pepper leaves. In summer, ‘Hiyakaki’ includes the luxury of large oysters. Visiting to taste the soba of each season is one of the pleasures of Edosoba Hosokawa.",,,
grill GRAND,"3-24-6 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,Japanese,¥,,Bib Gourmand,Air conditioning,"The charm of a Showa-era (1926–1989) Western eatery. In true Asakusa style, the whole family pitches in. Brothers race to finish shredding the cabbage, with the winner allowed to prepare food. This time it falls on the elder brother to wait on tables. Hamburger steak, rice-stuffed omelette, beef stew and other ‘Japanese-Western’ favourites remind patrons of the good old days. With the teachings of their grandfather and father in their hearts, the family upholds the goodness of Asakusa.",,,
Hashimoto,"2-5-7 Suido, Bunkyo-ku, Tokyo, 112-0005, Japan",Bunkyo/Sumida/Taito,Japanese,¥,https://www.unagi-hashimoto.jp/,Bib Gourmand,Air conditioning,"The aroma of kabayaki drifts as far as the north end of the Ishikiri Bridge over the Kanda River. The restaurant opened in 1835 and has been run by the same family ever since. Sixth-generation owner-chef Shinji Hashimoto handles the unagi. The unagi he uses is at least a year old, ensuring, he says, the best texture and flavour; he grills it plain and steams it according to Edo tradition. The recipe for the sauce has been passed down from the time of the founder.",,,
Onigiri Asakusa Yadoroku,"3-9-10 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,Japanese,¥,http://onigiriyadoroku.com/,Bib Gourmand,"Air conditioning,Cash only,Counter dining","Ingredients are displayed behind a glass case, as in a sushi shop. Yosuke Miura, the third-generation owner-chef, listens to his customer’s order and immediately begins moulding it by hand. Before taking over the reins here, he was a flautist. In classical music, you play what’s written on the music sheet. Onigiri is the same, says Miura; you don’t try to do something new. Yadoroku is a score handed down from his grandmother, one which he will reproduce faithfully.",,,
SEIJOSEIKA,"3-1-11 Minamikarasuyama, Setagaya-ku, Tokyo, 157-0062, Japan",Setagaya/Shinagawa,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","The owner-chef fell under the spell of ramen, which he had with his grandfather when he was young. He then made up his mind to become a ramen artisan himself. His signature dish is ‘Shio Soba’. There’s a wonderful fragrance to the Japanese-style dashi, made from kombu and dried sardines. He cooks pork fillets over low heat to rare doneness and slices them thin. He serves the soup extra hot so that it can be enjoyed like shabu-shabu.",,,
Setagaya Chukasoba Soshigaya Nanachome Shokudo,"1-9-14 Soshigaya, Setagaya-ku, Tokyo, 157-0072, Japan",Setagaya/Shinagawa,Japanese,¥,,Bib Gourmand,"Air conditioning,Cash only,Counter dining","The name of the restaurant includes the district’s name, to help endear it to the locals. Looking into the kitchen, you’ll see a cauldron and charcoal brazier. The signature ‘Setagaya Chinese Soba’ features dried boiled fish and Shodoshima soy sauce. Feel your stomach rumble to the spectacle of the pork being grilled over charcoal. The boiled noodles are poured into the bowl and carefully topped with lacto-fermented bamboo shoots and greens. It’s a simple deliciousness.",,,
DIALOGUE,"3-23-21 Kitazawa, Setagaya-ku, Tokyo, 155-0031, Japan",Setagaya/Shinagawa,French,¥¥,https://dialoguefrench.wixsite.com/home,Bib Gourmand,"Air conditioning,Counter dining","Cooking is a game of catch, a dialogue between souls. Hence the name of this restaurant, a conversation between the cuisine of Chef Yoshii and the wines of sommelier Shimokawa. Familiar French dishes for the day are written on a blackboard for all to see. The duck and foie gras baked in pie pastry and the vegetable terrine are listed year-round. The fun of choosing and the joy of tasting stimulate conversation, bringing hearts together.",,,
Lien,"3-5-22 Ikejiri, Setagaya-ku, Tokyo, 154-0001, Japan",Setagaya/Shinagawa,French,¥¥,https://lien-french.com/,Bib Gourmand,"Air conditioning,Counter dining","The prix fixe menu dazzles with its range of choices. The chef sources his ingredients from regions with which he is personally connected, mainly from his native Aomori, but also game from Hokkaido. Culinary approaches are varied: terrines, stews and items baked in pie crust are all in the mix. The number of dishes can be increased according to preference. Lien means ‘connection’, a reference to the bonds between guests and producers that are deepened through cooking.",,,
noura,"4-10-6 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,French,¥¥,https://www.noura0815.com/,Bib Gourmand,Air conditioning,"The restaurant name means ‘behind’, a humorous reference to how it is located behind its parent restaurant, HOMMAGE. In contrast to that establishment, noura follows the concept of a back-to-roots bistro. The chef, who honed his craft in France, applies classic French techniques to the fullest, capturing their essence in hearty free-range chicken, foie gras and pâté en croûte. Melted into the very fabric of Asakusa, noura is a restaurant where it’s easy to feel at home.",,,
DIALOGUE,"3-23-21 Kitazawa, Setagaya-ku, Tokyo, 155-0031, Japan",Setagaya/Shinagawa,French,¥¥,https://dialoguefrench.wixsite.com/home,Bib Gourmand,"Air conditioning,Counter dining","Cooking is a game of catch, a dialogue between souls. Hence the name of this restaurant, a conversation between the cuisine of Chef Yoshii and the wines of sommelier Shimokawa. Familiar French dishes for the day are written on a blackboard for all to see. The duck and foie gras baked in pie pastry and the vegetable terrine are listed year-round. The fun of choosing and the joy of tasting stimulate conversation, bringing hearts together.",,,
Lien,"3-5-22 Ikejiri, Setagaya-ku, Tokyo, 154-0001, Japan",Setagaya/Shinagawa,French,¥¥,https://lien-french.com/,Bib Gourmand,"Air conditioning,Counter dining","The prix fixe menu dazzles with its range of choices. The chef sources his ingredients from regions with which he is personally connected, mainly from his native Aomori, but also game from Hokkaido. Culinary approaches are varied: terrines, stews and items baked in pie crust are all in the mix. The number of dishes can be increased according to preference. Lien means ‘connection’, a reference to the bonds between guests and producers that are deepened through cooking.",,,
noura,"4-10-6 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,French,¥¥,https://www.noura0815.com/,Bib Gourmand,Air conditioning,"The restaurant name means ‘behind’, a humorous reference to how it is located behind its parent restaurant, HOMMAGE. In contrast to that establishment, noura follows the concept of a back-to-roots bistro. The chef, who honed his craft in France, applies classic French techniques to the fullest, capturing their essence in hearty free-range chicken, foie gras and pâté en croûte. Melted into the very fabric of Asakusa, noura is a restaurant where it’s easy to feel at home.",,,
LANBRoA,"3-11-15 Yoga, Setagaya-ku, Tokyo, 158-0097, Japan",Setagaya/Shinagawa,Hispanic,¥¥,,Bib Gourmand,"Air conditioning,Counter dining","Amazement at the dishes served in bars in Spain, where she travelled to study Spanish, started this owner-chef on her journey of gastronomy. When Mikiko Isobe later joined a cooking school in San Sebastián, Spain’s capital of fine cuisine, she was charmed by the flavours of the Basque Country. The piquillo pepper stuffed with bacalao (dried and salted cod) is a dish she remembers fondly from those days. Both the fare and the interior ooze a Basque atmosphere.",,,
LANBRoA,"3-11-15 Yoga, Setagaya-ku, Tokyo, 158-0097, Japan",Setagaya/Shinagawa,Hispanic,¥¥,,Bib Gourmand,"Air conditioning,Counter dining","Amazement at the dishes served in bars in Spain, where she travelled to study Spanish, started this owner-chef on her journey of gastronomy. When Mikiko Isobe later joined a cooking school in San Sebastián, Spain’s capital of fine cuisine, she was charmed by the flavours of the Basque Country. The piquillo pepper stuffed with bacalao (dried and salted cod) is a dish she remembers fondly from those days. Both the fare and the interior ooze a Basque atmosphere.",,,
Nodaiwa Azabu Iikura Honten,"1-5-4 Higashiazabu, Minato-ku, Tokyo, 106-0044, Japan",Minato,Japanese,¥¥,http://www.nodaiwa.co.jp/,1 Star,Air conditioning,"5th-generation Kanejiro Kanemoto keeps alive the family culinary legacy. Having started helping out at the restaurant as a boy, he has devoted himself to unagi for over 80 years. While hewing closely to Edo grilling styles, he doesn’t forget to add a twist of his own. Unseasoned broiled unagi dressed with caviar is an inspiration from his days wandering from restaurant to restaurant in Paris. Still working the kitchen today, Kanemoto is a master craftsman who has devoted his life to the grill.",,,
Nanakusa,"2-22-5 Tomigaya, Shibuya-ku, Tokyo, 151-0063, Japan",Shibuya,Japanese,¥¥,https://www.nana-kusa.net/,1 Star,Air conditioning,"Rika Maezawa grew up as the 3rd daughter of an unagi restaurant owner. She deliberately chose another path but was drawn to cooking as if by destiny. The restaurant’s name means ‘Seven Grasses’ and reflects Maezawa’s reverence for the Saijiki almanac of seasonal words for haiku poets. Vegetables, beans and dried foods are her star ingredients. Though based on home cooking, her work does venture from the confines of Japanese cuisine; for example, using Western seasonings to add subtle flavours.",,,
Tamawarai,"5-23-3 Jingumae, Shibuya-ku, Tokyo, 150-0001, Japan",Shibuya,Japanese,¥¥,,1 Star,"Air conditioning,Cash only","Masahiro Urakawa pours his soul into his coarse-ground soba, served on a seiro rack. He sources Hitachiaki buckwheat and mixes in buckwheat he has cultivated himself. Even the black husks are milled, so the buckwheat bursts with wild flavour, but kneading it into such thin juwari soba is hard work. The name is an amalgam of his parents’ soba shop and the nickname of his mentor. A Shinto straw rope decoration from his birthplace, Ise, protects the restaurant from malevolent spirits.",,,
Seki Hanare,"3-1-3 Setagaya, Setagaya-ku, Tokyo, 154-0017, Japan",Setagaya/Shinagawa,Japanese,¥¥,,Bib Gourmand,"Air conditioning,Counter dining","The omakase encapsulates the imagination of owner-chef Satoshi Kawakubo. Examples include grilled soymilk sesame tofu and sashimi enjoyed like a salad with lots of condiments. While meat is the main, Kawakubo adds vegetables from Yamanashi Prefecture, imparting a sense of season. Sake, shochu and wine, carefully selected at the brewery or winery, are one of the pleasures of Seki Hanare. Express a preference and Kawakubo will find a tipple that matches the flavour and aroma of your meal.",,,
Seki Hanare,"3-1-3 Setagaya, Setagaya-ku, Tokyo, 154-0017, Japan",Setagaya/Shinagawa,Japanese,¥¥,,Bib Gourmand,"Air conditioning,Counter dining","The omakase encapsulates the imagination of owner-chef Satoshi Kawakubo. Examples include grilled soymilk sesame tofu and sashimi enjoyed like a salad with lots of condiments. While meat is the main, Kawakubo adds vegetables from Yamanashi Prefecture, imparting a sense of season. Sake, shochu and wine, carefully selected at the brewery or winery, are one of the pleasures of Seki Hanare. Express a preference and Kawakubo will find a tipple that matches the flavour and aroma of your meal.",,,
Chugoku Hanten Kohakukyu (Amber Palace),"5F, Palace Hotel Tokyo, 1-1-1 Marunouchi, Chiyoda-ku, Tokyo, 100-0005, Japan",Chiyoda,Chinese,¥¥¥,https://www.chuugokuhanten.com/,1 Star,"Air conditioning,Car park,Interesting wine list,Wheelchair access","The dishes are primarily Cantonese as the chef is from Hong Kong. He uses classic techniques while incorporating Japanese and Western ingredients based on the theme of ‘traditional and high quality, modern and fresh’. Prime examples include lobster, truffles, Japanese sweet miso, and Fukui mustard. There is an elegant dining room with traditional Chinese decorations and numerous private rooms as well where you can relax and enjoy your meal.",,,
Chugoku Hanten Fureika,"3-7-5 Higashiazabu, Minato-ku, Tokyo, 106-0044, Japan",Minato,Chinese,¥¥¥,https://www.chuugokuhanten.com/,1 Star,"Air conditioning,Car park","The house boasts two kitchens, one for Shanghainese and the other for Cantonese cooking, each overseen by a dedicated chef. A rôttiseur is in charge of the roasted pork fillet, a dim sum master for steamed buns and gyoza dumplings, each preparing their specialities in the authentic style. The menu ranges from familiar vegetables to dishes using luxury ingredients, along with several creative items. At lunch, the dim sum set and the à la carte menu are both recommended.",,,
itsuka,"2F, 2-14-15 Minamiaoyama, Minato-ku, Tokyo, 107-0062, Japan",Minato,Chinese,¥¥¥,https://www.itsuka8.com/,1 Star,"Air conditioning,Interesting wine list","Ryosuke Tamura’s theme is ‘Chinese cooking that conveys the feeling of Japan’. Focusing on classic Sichuan-based Chinese fare, Tamura aims to evolve Chinese cuisine by fusing it with Japanese. For example, whereas Chinese dishes are typically garnished with decoratively cut carrots or orchids, Tamura’s approach is to dress his dishes with seasonal leaves, as on a kaiseki hassun. Jingdezhen and Arita crockery express the cultures of both China and Japan.",,,
Koshikiryori Koki,"2-13-6 Nishishimbashi, Minato-ku, Tokyo, 105-0003, Japan",Minato,Chinese,¥¥¥,https://koushiki-ryori.com/,1 Star,"Air conditioning,Counter dining","The Hong Kong–born chef is affectionately known as ‘Tommy-san’. Tending his woks amid the intimate environment of an open kitchen, he charms his audience, sometimes trading jokes with them. The go-to dish, fried pasted chicken testes, is one of Tomi-san’s proudest dishes and one that keeps customers coming back. Pork, chicken and spiny lobster served on large plates win diners over by bringing the true pleasure of Chinese cooking and showing why a simultaneous start to the meal works.",,,
Series,"3-4-11 Azabudai, Minato-ku, Tokyo, 106-0041, Japan",Minato,Chinese,¥¥¥,https://series-restaurant.com/,1 Star,"Air conditioning,Counter dining,Interesting wine list","The chef uses ingredients from around the world in his quest for a new Chinese cuisine. His signature dish, grilled chicken wings stuffed with foie gras, is the perfect example. In Hong Kong, it’s traditional to stuff chicken wings with mochi rice, but here the dish uses foie gras instead. The allure at Series is the meal consisting of numerous small items only made possible by serving all the guests at the same time, which is why they are asked to arrive at a designated time.",,,
Shichubo Yung,"6-5-5 Shirokane, Minato-ku, Tokyo, 108-0072, Japan",Minato,Chinese,¥¥¥,https://yung-shirokane.com/,1 Star,"Air conditioning,Counter dining","‘Shichubo’ means ‘private kitchen’, and Chef Yuta Hara seeks to create the mood of a private kitchen in Hong Kong. Hara bases his work on Cantonese cuisine but tweaks it with some tricks of his own. For example, the famous awabi here is dressed with Shaoxing-wine butter sauce or with nori sauce of Manila-clam dashi. Diners can add noodle or dim sum dishes according to how hungry they are, in a much-appreciated customer-focused touch.",,,
Ubuka,"2-14  Arakicho, Shinjuku-ku, Tokyo, 160-0007, Japan",Shinjuku,Japanese,¥¥¥,https://ubuka.jp/,1 Star,Air conditioning,"The chef opened Ubuka because he liked the idea of a restaurant that specialises in shellfish. The name means ‘first fragrance’, in recognition of the importance of the aroma of foodstuffs. The menu is all about shrimp and crab. Cooking the shellfish alive, Kato displays the prowess he honed at traditional Japanese restaurants in Kyoto. Crab meat has been picked, so is easy for diners to enjoy. The secret ingredient in his famous fried shrimp is his soy-sauce-infused sauce américaine.",,,
Nabeno-Ism,"2-1-17 Komagata, Taito-ku, Tokyo, 111-0043, Japan",Bunkyo/Sumida/Taito,French,¥¥¥,http://www.nabeno-ism.tokyo/,2 Stars,"Air conditioning,Great view,Interesting wine list,Terrace","Chef Yuichiro Watanabe styles his approach ‘Watanabe-ism’ – a fusion of local food culture with French cuisine. Sobagaki (buckwheat flour mash) in kombu broth gelée and topped with caviar is inspired by a recipe from Joël Robuchon, the chef’s mentor. Watanabe analyses the way history and cuisine evolved, creating dishes that are all his own. Foreshadowing the future of French cuisine, with a bow to the terroir of Japan.",,,
ESTERRE,"6F, Palace Hotel Tokyo, 1-1-1 Marunouchi, Chiyoda-ku, Tokyo, 100-0005, Japan",Chiyoda,French,¥¥¥,https://www.palacehoteltokyo.com/,1 Star,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access","Enjoy elegant dining with views of the verdant Kokyo Gaien National Garden and Wadakura Moat. ESTERRE partners with Alain Ducasse, a legend of the gastronomic world, to express the seasons and natural beauty of Japan. The chef, Kei Kojima, who studied under Ducasse, creates a healthful, aesthetically pleasing fusion of French and Japanese cuisines. The accent is on seafood and Kamakura vegetables, as beautiful to the eye as to the palate.",,,
L'ARGENT,"2F, Tokyo Club Bldg, 3-2-6 Kasumigaseki, Chiyoda-ku, Tokyo, 100-0013, Japan",Chiyoda,French,¥¥¥,https://largent.tokyo/,1 Star,"Air conditioning,Counter dining,Interesting wine list,Wheelchair access","Applying experience in Paris and Copenhagen, the chef layers Scandinavian innovation on top of Japanese ingredients and the French classics. Embodying these influences is ‘Fermented mushrooms’: mushrooms sourced from the chef’s native Shizuoka are fermented and paired with poached eggs. After dinner, baked sweets made with Kakegawa tea grown by his relatives are served. Boundlessly creative modern French cuisine is interwoven with the chef’s roots.",,,
Les Saisons,"MF, Main Bldg, Imperial Hotel Tokyo, 1-1-1 Uchisaiwaicho, Chiyoda-ku, Tokyo, 100-8558, Japan",Chiyoda,French,¥¥¥,https://www.imperialhotel.co.jp/j/,1 Star,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Thierry Voisin brings traditional French cuisine in line with the Japanese milieu. Since coming to Japan, he has come to appreciate the rich array of ingredients available here and the importance given to seasonality in cuisine. Inspired by those ingredients, he comes up with dishes that display his sensibilities. Kombu and katsuo-bushi play a role in his creative preparations. Enjoy a fusion of Japanese and French cuisine in a classical dining room.",,,
PRUNIER,"2F, Tokyo Kaikan, 3-2-1 Marunouchi, Chiyoda-ku, Tokyo, 100-0005, Japan",Chiyoda,French,¥¥¥,https://www.kaikan.co.jp/restaurant/prunier/,1 Star,"Air conditioning,Car park,Interesting wine list,Wheelchair access","When Tokyo Kaikan was rebuilt, PRUNIER took the opportunity to be reborn under the theme of ‘NEWCLASSICS.’. Awabi (abalone) in béarnaise sauce expresses a seasonal modernity. Sole bonne femme is a study in classic French fare. Guided by the maxim ‘Cook but keep it fresh, change the form but keep it natural’, Chef Hiroyuki Matsumoto has launched a new tradition.",,,
Nœud. TOKYO,"B1F, 2-5-7 Hirakawacho, Chiyoda-ku, Tokyo, 102-0093, Japan",Chiyoda,French,¥¥¥,https://noeud.tagaya.co.jp/#top,1 Star,"Air conditioning,Counter dining,Restaurant offering vegetarian menus","The concept at the French restaurant Nœud. TOKYO is sustainability, which is expressed throughout. Centred on vegetables, the set menu features dishes with sparse use of oils and fats and light on the stomach. Preparing a single ingredient in several ways creates variety as the natural flavours are brought out. The name of the restaurant means ‘knot’, with the team aiming to tie together people, the environment and food.",,,
nôl,"1F, DDD HOTEL, 2-2-1 Nihombashibakurocho, Chuo-ku, Tokyo, 103-0002, Japan",Chuo,French,¥¥¥,https://nol.jp/,1 Star,"Air conditioning,Counter dining,Interesting wine list,Notable sake list","One of the meanings of ‘nôl’ is a contraction of ‘new normal’. Tatsuya Noda’s dream is to care for people and the environment while pursuing a new standard for the future. Perhaps that is why he refers to the dining room as a ‘kitchen space’. Taking cues from his childhood, such as his grandmother’s pickles and his mother’s roasted rice, he interweaves the food cultures of France and Japan. Meals conclude with vegetable soup to settle the stomach—a fun novelty that won’t be forgotten.",,,
BEIGE Alain Ducasse,"10F, 3-5-3 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥,http://beige-tokyo.com/,2 Stars,"Air conditioning,Car park,Interesting wine list","Contemporary French dining from the master of the French gastronomical world. The influence of Alain Ducasse is writ large amid the glittering cityscape of Ginza, showcasing his insistence on high-quality ingredients, light and subtle recipes, aesthetic sense, and refinement that is shared by Japanese and French traditions. Allow yourself to be pampered by the stylish dining room and attentive service for a few elegant hours.",,,
Dominique Bouchet,"2F, 1-5-6 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥,https://www.dominique-bouchet.jp/,1 Star,"Air conditioning,Interesting wine list","Dominique Bouchet formerly commanded the kitchens at Paris’ fabled Tour d’Argent and Hôtel de Crillon. After opening his own restaurant in Paris, he expanded to Tokyo, a city he’s developed a close relationship with over many years. The theme here is ‘passing on tradition’. Dominique Bouchet reconstructs in a modern style the classic forms he has pursued throughout his career. Paying homage to Japan as a terroir, he expresses his vision through seasonal Japanese ingredients.",,,
Ginza L’écrin,"4-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥,https://www.lecringinza.co.jp/lecrin/,1 Star,"Air conditioning,Interesting wine list","Orthodox French cuisine as guarded by successive generations of head chefs since 1974. The absence of a long-established menu enables Chef Yuhei Kurita to evolve with the times. The eighth head chef of L’écrin values his sauces, striving for the perfect wine pairings. In keeping with the restaurant’s name, which means ‘jewel box’, a wooden box is presented at the end of the meal – lift the lid and you’ll find little cakes and bonbons, shining like jewels.",,,
L'AFFINAGE,"2F, 5-9-16 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥,https://laffinage.jp/,1 Star,"Air conditioning,Counter dining,Interesting wine list","Chef Yasuyuki Takara was most influenced by Paul Bocuse during his training in France. He was impressed by how the distinguished chef would stay at the restaurant longer than anyone else. He also travelled to various regions to study local cuisine and wines. His speciality is ‘pavé de foie gras’, inspired by the pavers on Azuma-dori in front of the restaurant.",,,
La Paix,"B1F, 1-9-4 Nihombashimuromachi, Chuo-ku, Tokyo, 103-0022, Japan",Chuo,French,¥¥¥,https://lapaix-m.jp/,1 Star,"Air conditioning,Interesting wine list","From historic Nihombashi Bridge, owner-chef Ippei Matsumoto spreads the word about his fusion of French and Japanese cuisines. Everything, from the ingredients to the interior and tableware, incorporates timeless Japanese elegance. Ingredients are delivered directly from producers, with whom Matsumoto maintains continuous dialogue. In summer La Paix serves peaches from his native Wakayama Prefecture. In fact, he makes the most of them, serving a ‘Peach Set Menu’ that sets his restaurant apart.",,,
